[00:00:00.000 --> 00:00:06.660]  Hi Lam.
[00:03:32.659 --> 00:03:35.659]  Ja.
[00:03:35.659 --> 00:03:36.659]  Ich weiß.
[00:03:36.659 --> 00:03:42.659]  Das er hat selber aufstehen.
[00:03:42.659 --> 00:03:43.659]  Ja.
[00:03:43.659 --> 00:03:44.659]  Nur selber.
[00:03:44.659 --> 00:03:45.659]  Genau.
[00:03:45.659 --> 00:03:48.659]  Wenn er selber aufstehen.
[00:03:48.659 --> 00:03:49.659]  Ja.
[00:03:49.659 --> 00:03:50.659]  Dann ist gut.
[00:03:50.659 --> 00:03:53.659]  Das ist und das ist Natur- und Natur.
[00:03:53.659 --> 00:03:56.659]  Aber er hat so viel Kraft und streckt die Beine.
[00:03:56.659 --> 00:03:57.659]  Nein.
[00:03:57.659 --> 00:03:59.659]  Dass er immer ein bisschen sich abdrückt.
[00:03:59.659 --> 00:04:00.659]  Wie er wissen lassen.
[00:04:00.659 --> 00:04:01.659]  Das ist von May.
[00:04:01.659 --> 00:04:02.659]  Das ist.
[00:04:02.659 --> 00:04:04.659]  Das ist viel kräftig.
[00:04:04.659 --> 00:04:05.659]  Ja.
[00:04:05.659 --> 00:04:07.659]  Der hat schon viel Kraft gel.
[00:04:07.659 --> 00:04:10.659]  Was sind wir für euch?
[00:04:10.659 --> 00:04:17.659]  Wie alt ist er jetzt schon?
[00:04:17.659 --> 00:04:18.659]  6 Monate.
[00:04:18.659 --> 00:04:19.659]  Super.
[00:04:19.659 --> 00:04:22.659]  Nächste Jahr noch.
[00:04:22.659 --> 00:04:23.659]  Sie sind mutt.
[00:04:23.659 --> 00:04:26.659]  Aber es gibt es gleich.
[00:04:26.659 --> 00:04:28.659]  Aber für 6 Monate lang.
[00:04:28.659 --> 00:04:30.659]  Finde ich jetzt nicht.
[00:04:30.659 --> 00:04:32.659]  Ich finde auch nicht zu leicht.
[00:04:32.660 --> 00:04:34.660]  Aber die Grenze.
[00:04:34.660 --> 00:04:35.660]  Okay.
[00:04:35.660 --> 00:04:38.660]  Sie sind viel mehr.
[00:04:38.660 --> 00:04:39.660]  Ja.
[00:04:39.660 --> 00:04:45.660]  Um kommt jetzt jemand nach Hause, hilft oder?
[00:04:45.660 --> 00:04:46.660]  Nein.
[00:04:46.660 --> 00:04:50.660]  Wir gehen weiter.
[00:04:50.660 --> 00:04:53.660]  Wir haben die letzten Mal in der Mitte.
[00:04:53.660 --> 00:04:55.660]  Wir haben die Schreben.
[00:04:55.660 --> 00:04:58.660]  Und dann, dass sie erkannt ist.
[00:04:58.660 --> 00:04:59.660]  Ja.
[00:04:59.660 --> 00:05:03.660]  Und dann muss verschiedene einen Termin.
[00:05:03.660 --> 00:05:05.660]  Und ein neue Termin sein.
[00:05:05.660 --> 00:05:09.660]  Dann ich war der Hauptverkehr.
[00:05:09.660 --> 00:05:11.660]  Ich war der Hauptverkehr.
[00:05:11.660 --> 00:05:13.660]  Ich war der Hauptverkehr.
[00:05:13.660 --> 00:05:16.660]  Ich habe nicht mehr ein Problem.
[00:05:16.660 --> 00:05:18.660]  Wir erwarten auch.
[00:05:18.660 --> 00:05:19.660]  Ja.
[00:05:19.660 --> 00:05:20.660]  Ja.
[00:05:20.660 --> 00:05:23.660]  Bist du im Ruhe, dann gehen lassen.
[00:05:23.660 --> 00:05:25.660]  Wir warten auf sie.
[00:05:25.660 --> 00:05:26.660]  Ja.
[00:05:26.660 --> 00:05:27.660]  Ich mach.
[00:05:27.660 --> 00:05:29.660]  Ich bin gesund.
[00:05:29.660 --> 00:05:32.660]  Jetzt fängt schon an zu Kreiseln.
[00:05:32.660 --> 00:05:33.660]  Kreiseln, nein.
[00:05:33.660 --> 00:05:34.660]  Okay.
[00:05:34.660 --> 00:05:35.660]  So.
[00:05:35.660 --> 00:05:36.660]  Ein A1.
[00:05:36.660 --> 00:05:37.660]  So.
[00:05:37.660 --> 00:05:38.660]  So.
[00:05:38.660 --> 00:05:39.660]  Ich schüsse.
[00:05:39.660 --> 00:05:41.660]  Für morgen.
[00:05:41.660 --> 00:05:43.660]  Ich...
[00:05:43.660 --> 00:05:44.660]  Ich...
[00:05:44.660 --> 00:05:45.660]  Ich...
[00:05:45.660 --> 00:05:46.660]  Ich...
[00:05:46.660 --> 00:05:47.660]  Ich...
[00:05:47.660 --> 00:05:48.660]  Ich...
[00:05:48.660 --> 00:05:49.660]  Ich...
[00:05:49.660 --> 00:05:50.660]  Ich...
[00:05:50.660 --> 00:05:51.660]  Ich...
[00:05:51.660 --> 00:05:52.660]  Ich...
[00:05:52.660 --> 00:05:53.660]  Ich...
[00:05:53.660 --> 00:05:54.660]  Ich...
[00:05:54.660 --> 00:05:55.660]  Ich...
[00:05:55.660 --> 00:05:56.660]  Das ist früh.
[00:05:56.660 --> 00:05:57.660]  Ja.
[00:05:57.660 --> 00:05:58.660]  Das ist früh.
[00:05:58.660 --> 00:06:05.660]  Ja, die Endsende.
[00:06:05.660 --> 00:06:18.660]  Hat er noch die Sensoren am Fuß zum Schlachen?
[00:06:18.660 --> 00:06:21.660]  Äh, Sensoren, auch.
[00:06:21.660 --> 00:06:26.660]  wegen der Atmung nachts. Ja, ja, wir sehen uns.
[00:06:26.660 --> 00:06:31.660]  Aber er kann jetzt schön gekopfheben, er würde nicht im Kissen.
[00:06:31.660 --> 00:06:36.660]  Nein, nein, nein, er stellt nur ihn.
[00:06:36.660 --> 00:06:40.660]  Ja, ja, auch im Baustlager, er kommt ja.
[00:06:40.660 --> 00:06:44.660]  Ja, im Baustlager, nur wenn ich schüsse.
[00:06:44.660 --> 00:06:47.660]  Ja, ja, 5 Minuten.
[00:06:47.660 --> 00:06:50.660]  Ja, er muss auch auch von den Spielen.
[00:06:50.660 --> 00:06:54.660]  Ja, er schleppt immer.
[00:06:54.660 --> 00:06:56.660]  Ja.
[00:06:56.660 --> 00:06:58.660]  Präposition, ihm rufen.
[00:06:58.660 --> 00:07:00.660]  Ja, sogar rufen.
[00:07:02.660 --> 00:07:05.660]  Magst du hoch? Komm mal her.
[00:07:07.660 --> 00:07:10.660]  Nicht stehen, du bist immer stehen.
[00:07:10.660 --> 00:07:20.660]  Manchmal vergessen wir den Socken anziehen.
[00:07:20.660 --> 00:07:29.660]  Aber normalerweise jede Nacht, jede Nacht sehr offen.
[00:07:29.660 --> 00:07:32.660]  Ist gut.
[00:07:41.660 --> 00:07:44.660]  Wir haben auf dem Glue ein nämlich,
[00:07:45.660 --> 00:07:49.660]  Um dann fest zu kommen.
[00:07:49.660 --> 00:07:51.660]  Ich bin zu schön.
[00:07:51.660 --> 00:07:53.660]  Es ist schön, oder?
[00:07:53.660 --> 00:07:55.660]  Es ist schön, dass ich so eine Koffer habe.
[00:07:55.660 --> 00:07:57.660]  Ja, ich bin sehr schön, oder?
[00:07:57.660 --> 00:07:59.660]  Bebäher oder ich weiß nicht, oder?
[00:07:59.660 --> 00:08:00.660]  Bebäher oder?
[00:08:00.660 --> 00:08:01.660]  Ich weiß nicht, oder?
[00:08:01.660 --> 00:08:03.660]  Dann normalerweise in der Nacht.
[00:08:03.660 --> 00:08:05.660]  Hundert-zwanzig, hundert-zwanzig.
[00:08:05.660 --> 00:08:07.660]  Hundert-zwanzig.
[00:08:07.660 --> 00:08:09.660]  Aber hundert-zwanzig.
[00:08:09.660 --> 00:08:11.660]  Hundert-zwanzig.
[00:08:11.660 --> 00:08:13.660]  Aber hundert-zwanzig.
[00:08:13.660 --> 00:08:15.660]  Aber hundert-zwanzig, hundert-zwanzig.
[00:08:15.660 --> 00:08:17.660]  Aber hundert-zwanzig.
[00:08:17.660 --> 00:08:23.420]  Oder...
[00:08:24.580 --> 00:08:26.260]  So close.
[00:08:28.020 --> 00:08:31.780]  Ich will hier hoch, ich will gall nicht.
[00:08:32.940 --> 00:08:34.379]  Mhm.
[00:08:35.700 --> 00:08:37.019]  Mhm.
[00:08:37.019 --> 00:08:41.860]  Und hier bitte den restlichen Eben in den Kopf.
[00:08:47.860 --> 00:09:00.919]  Und dann müssen wir wieder prereul
[00:09:00.919 --> 00:09:13.919]  Das ist ein Stein jetzt. Hast du Hunger? Hast du Hunger?
[00:09:13.919 --> 00:09:18.919]  Was hat er Hunger auf den Gessi?
[00:09:18.919 --> 00:09:25.919]  Das ist ein Stein mit dem E-Mail.
[00:09:25.919 --> 00:09:28.919]  Das ist ein Stein.
[00:09:28.919 --> 00:09:35.919]  Hast du Hunger? Hast du Hunger?
[00:09:35.919 --> 00:09:41.919]  Hast du Milch?
[00:09:41.919 --> 00:09:44.919]  Das ist ein Stein.
[00:09:44.919 --> 00:09:52.919]  Das ist ein Stein.
[00:09:52.919 --> 00:10:00.919]  Das ist ein Stein.
[00:10:00.919 --> 00:10:06.919]  Und dann fährt man so einen Anfelsing.
[00:10:06.919 --> 00:10:12.919]  Und Schnurla?
[00:10:12.919 --> 00:10:14.919]  Oder Bill Ruhe?
[00:10:14.919 --> 00:10:17.919]  Kurz ausruhen?
[00:10:17.919 --> 00:10:22.919]  In der Nachstuhler hält noch noch einen.
[00:10:22.919 --> 00:10:29.919]  Dann vielleicht einen Kurs ab und schon?
[00:10:29.919 --> 00:10:34.919]  Nein, das ist ein Mach.
[00:10:34.919 --> 00:10:42.919]  Wir haben drei oder vier Kuts zu Schnurla und dann er macht so einen.
[00:10:42.919 --> 00:10:49.919]  Gessi, du musst mal aufschauen.
[00:10:49.919 --> 00:10:52.919]  Und Ruhe pätzt.
[00:10:52.919 --> 00:10:59.919]  Der weiß nicht, was er will.
[00:10:59.919 --> 00:11:06.919]  Und Ruhe pätzt.
[00:11:06.919 --> 00:11:11.919]  Der weiß nicht, was er will.
[00:11:11.919 --> 00:11:19.919]  Und Mittag schlafen macht er wie lange?
[00:11:19.919 --> 00:11:26.919]  Mhm.
[00:11:26.919 --> 00:11:29.919]  Und Mittag schlafen macht er wie lange?
[00:11:29.919 --> 00:11:37.919]  So fast ist Es陳 annual!
[00:11:37.919 --> 00:11:43.919]  Was arcade auf den 大sten?
[00:11:43.919 --> 00:11:47.919]  Es whereas disg pointe sich an!
[00:11:47.919 --> 00:12:15.199]  Okay, er braucht besser Rhythmus.
[00:12:15.259 --> 00:12:19.960]  Was passiert dann wird er einfach waktsüber?
[00:12:22.640 --> 00:12:26.740]  L예.
[00:12:27.120 --> 00:12:35.440]  Was wird mal noch, wenn es schabis kommt?
[00:12:35.440 --> 00:12:37.440]  Nachmitteln der Nachfunk.
[00:12:37.440 --> 00:12:41.440]  Mindestens älter, oder wie man mit so ...
[00:12:41.440 --> 00:12:44.440]  ... vorbacht 24 Stunden.
[00:12:45.440 --> 00:12:48.440]  Also mittags, eine Stunde, Werbung ...
[00:12:48.440 --> 00:12:50.440]  Na ja, na ja.
[00:12:50.440 --> 00:12:52.440]  Na was kann ich sagen?
[00:12:52.440 --> 00:12:53.440]  Nachts ...
[00:12:56.440 --> 00:13:00.440]  Nachts schon 10 und mittags 1 oder so.
[00:13:00.440 --> 00:13:04.440]  Also kann man den Mittagsschlaf lenken?
[00:13:04.440 --> 00:13:10.440]  Mittagsschlaf, um wie viel Uhr ist der um 11 und dann nochmal um 30.
[00:13:10.440 --> 00:13:13.440]  So kann man sich nicht sagen.
[00:13:13.440 --> 00:13:15.440]  Wir wollen nicht sagen.
[00:13:15.440 --> 00:13:17.440]  Wir wollen nicht sagen.
[00:13:17.440 --> 00:13:19.440]  Dann sind wir dann ...
[00:13:19.440 --> 00:13:22.440]  ... viel zu wenig, dann setzen wir ...
[00:13:22.440 --> 00:13:23.440]  Okay.
[00:13:23.440 --> 00:13:24.440]  Dann setzen wir ...
[00:13:24.440 --> 00:13:26.440]  ... dann bevor ...
[00:13:26.440 --> 00:13:27.440]  ... bevor ...
[00:13:27.440 --> 00:13:28.440]  ... bevor ...
[00:13:28.440 --> 00:13:29.440]  ... bevor ...
[00:13:29.440 --> 00:13:30.440]  ... bevor ...
[00:13:30.440 --> 00:13:31.440]  ... bevor ...
[00:13:31.440 --> 00:13:32.440]  ... bevor ...
[00:13:32.440 --> 00:13:33.440]  ... bevor ...
[00:13:33.440 --> 00:13:34.440]  ... bevor ...
[00:13:34.440 --> 00:13:35.440]  ... bevor ...
[00:13:35.440 --> 00:13:36.440]  ... bevor ...
[00:13:36.440 --> 00:13:37.440]  ... bevor ...
[00:13:37.440 --> 00:13:39.440]  Aber wir haben nicht schon Sonnenluge.
[00:13:39.440 --> 00:13:41.440]  Jetzt ist es nicht mehr.
[00:13:41.440 --> 00:13:42.440]  Dann ...
[00:13:42.440 --> 00:13:44.440]  ... nicht schon.
[00:13:44.440 --> 00:13:46.440]  Jetzt wird es nicht.
[00:13:46.440 --> 00:13:48.440]  Heute hat er noch nicht geschlafen.
[00:13:48.440 --> 00:13:50.440]  Mittag ...
[00:13:50.440 --> 00:13:52.440]  ... nicht schon.
[00:13:52.440 --> 00:13:54.440]  Ich bin ...
[00:13:54.440 --> 00:13:56.440]  ... für die Klinie schon da was von ...
[00:13:56.440 --> 00:13:57.440]  ... und ...
[00:13:57.440 --> 00:13:58.440]  ... und ...
[00:13:58.440 --> 00:13:59.440]  ... und ...
[00:13:59.440 --> 00:14:00.440]  ... und ...
[00:14:00.440 --> 00:14:01.440]  ... und ...
[00:14:01.440 --> 00:14:02.440]  ... und ...
[00:14:03.440 --> 00:14:05.440]  dann ...
[00:14:05.440 --> 00:14:07.440]  dann.
[00:14:07.440 --> 00:14:08.440]  라고 dachte ich.
[00:14:08.440 --> 00:14:09.440]  Und jetzt 1,5 Minuten.
[00:14:09.440 --> 00:14:11.440]  結 ich 2,7 Minuten.
[00:14:11.440 --> 00:14:13.440]  Dann lassen wir mal.
[00:14:13.440 --> 00:14:14.440]  Ab 2嗎?
[00:14:14.440 --> 00:14:17.440]  Ich truc hier auch ein.
[00:14:19.420 --> 00:14:21.440]  15 Minutenkn zw.
[00:14:21.440 --> 00:14:24.440]  15 Minuten.
[00:14:24.440 --> 00:14:28.740]  bei 16 und 10 und 60
[00:14:29.420 --> 00:14:32.180]  Zwiebeln war
[00:14:37.580 --> 00:14:40.780]  Halt also首
[00:14:41.780 --> 00:14:47.200]  in diese Zeit ein Dreieinstell
[00:14:49.300 --> 00:14:50.300]  Strange
[00:14:50.299 --> 00:15:07.740]  Also das ist dann geschehen, dann Milch, Drei Uhr, elf fast zwei, zwei Hunderts,
[00:15:08.240 --> 00:15:14.340]  Ja dann sechs undSMHолов Tonkostfarbe...
[00:15:16.940 --> 00:15:20.180]  10, wa 20 Dinge, wenn ichビle ich noch 12,
[00:15:21.539 --> 00:15:28.200]  Sí das ist sech zu fe palace und recurs zuFS für den vom Draheunchingång,
[00:15:28.200 --> 00:15:43.200]  Winden, Faxen, Winden, Winden, und dann fast schlafen.
[00:15:43.200 --> 00:15:50.200]  17. Dezember, gestern.
[00:15:50.200 --> 00:16:01.200]  Das ist Zeit zur Zeit. Dann Milch.
[00:16:31.200 --> 00:16:43.200]  Zum Beispiel, manchmal, habe wir diese Information vergessen.
[00:16:43.200 --> 00:16:50.200]  Dann sieht es schlafen.
[00:17:20.200 --> 00:17:27.200]  Wir werden nach 20, da kann man keine halbe.
[00:17:27.200 --> 00:17:34.200]  30. 20, Rhythmus ist besser.
[00:17:34.200 --> 00:17:41.200]  20, 40 und dann Stunde an der Kalle.
[00:17:41.200 --> 00:17:48.200]  Für ihn ist besser geregelt. Wenn er dann wach wird, versuchen wir noch mal.
[00:17:48.200 --> 00:17:53.200]  20 Minuten weg.
[00:17:53.200 --> 00:17:56.200]  Faxen.
[00:17:56.200 --> 00:18:03.200]  Dann schlafen.
[00:18:03.200 --> 00:18:10.200]  Dann schlöst du auch.
[00:18:10.200 --> 00:18:17.200]  Dann schlafen.
[00:18:17.200 --> 00:18:24.200]  Alles ruhig.
[00:18:24.200 --> 00:18:31.200]  Dann waren wir zusammen.
[00:18:31.200 --> 00:18:38.200]  Dann aufstehen.
[00:18:38.200 --> 00:18:53.200]  Sehr gut.
[00:18:53.200 --> 00:19:00.200]  Rhythmus ist wichtig.
[00:19:00.200 --> 00:19:07.200]  Wir haben noch mal über 1 Mal wenigstens zu länger.
[00:19:07.200 --> 00:19:14.200]  Jetzt ist er müde.
[00:19:14.200 --> 00:19:21.200]  Dann schlöst du auch.
[00:19:21.200 --> 00:19:28.200]  Dann schlöst du auch.
[00:19:28.200 --> 00:19:35.200]  Dann schlöst du auch.
[00:19:35.200 --> 00:19:42.200]  Dann schlöst du auch.
[00:19:42.200 --> 00:19:49.200]  Dann schlöst du auch.
[00:19:49.200 --> 00:19:56.200]  Dann schlöst du auch.
[00:19:56.200 --> 00:20:03.200]  Dann schlöst du auch.
[00:20:03.200 --> 00:20:08.200]  Dann schlöst du auch.
[00:20:08.200 --> 00:20:15.200]  Dann schlöst du auch.
[00:20:15.200 --> 00:20:22.200]  Dann schlöst du auch.
[00:20:22.200 --> 00:20:29.200]  Dann schlöst du auch.
[00:20:29.200 --> 00:20:31.200]  Ich schaffe ihn an der Zima.
[00:20:33.200 --> 00:20:37.200]  Diese zwei Wochen wäre schon in der anderen Zima.
[00:20:41.200 --> 00:20:46.200]  Ich denke, er schläft ein bisschen als ...
[00:20:48.200 --> 00:20:49.200]  ... den Kledamm.
[00:20:49.200 --> 00:20:50.200]  Weil es ruhig war.
[00:20:50.200 --> 00:20:56.200]  Er hat ruhig ... zum Beispiel ...
[00:20:59.200 --> 00:21:02.200]  ... verhört aufstehen, aufgestanden ...
[00:21:02.200 --> 00:21:03.200]  ... und dann ...
[00:21:03.200 --> 00:21:05.200]  ... mich gelderer ...
[00:21:05.200 --> 00:21:07.200]  ... seine Lüge und diese ...
[00:21:08.200 --> 00:21:10.200]  ... diese Nacht ...
[00:21:11.200 --> 00:21:14.200]  ... und die Wasche, die man schon ...
[00:21:14.200 --> 00:21:17.200]  ... diese Nacht 10 Minuten, zum Beispiel ...
[00:21:17.200 --> 00:21:19.200]  ... in den Bismarch erstreien.
[00:21:20.200 --> 00:21:23.200]  Ich weiß nicht, warum ...
[00:21:23.200 --> 00:21:24.200]  ... aber ...
[00:21:28.200 --> 00:21:30.200]  ... ich habe schon gesagt ...
[00:21:30.200 --> 00:21:31.200]  ... Jan hat ...
[00:21:31.200 --> 00:21:33.200]  ... zweite, zwei Wochen ...
[00:21:33.200 --> 00:21:34.200]  ... das ist ...
[00:21:34.200 --> 00:21:36.200]  ... ein schlechtes Gut ...
[00:21:36.200 --> 00:21:37.200]  ... ein schlechtes Gut zum Beispiel ...
[00:21:37.200 --> 00:21:38.200]  ... fünf ausstehen ...
[00:21:38.200 --> 00:21:39.200]  ... fünf mal ausstehen ...
[00:21:39.200 --> 00:21:40.200]  ... aber ...
[00:21:40.200 --> 00:21:42.200]  ... kurz ein, ein Minuten ...
[00:21:42.200 --> 00:21:43.200]  ... und dann ...
[00:21:43.200 --> 00:21:44.200]  ... und dann ...
[00:21:45.200 --> 00:21:46.200]  ... so zu sehen ...
[00:21:48.200 --> 00:21:50.200]  ... schmerzen vielleicht 10 ...
[00:21:50.200 --> 00:21:51.200]  ... aber ...
[00:21:51.200 --> 00:21:52.200]  ... keine 10 ...
[00:21:52.200 --> 00:21:54.200]  ... eigentlich gar keine 10 ...
[00:21:54.200 --> 00:21:55.200]  ... kommt nichts ...
[00:21:55.200 --> 00:21:56.200]  ... kommt nichts ...
[00:21:56.200 --> 00:21:58.200]  ... kommt noch ...
[00:21:58.200 --> 00:21:59.200]  ... kommt noch ...
[00:21:59.200 --> 00:22:01.200]  ... ja, warten ...
[00:22:01.200 --> 00:22:03.200]  ... auf deine Hunde ...
[00:22:03.200 --> 00:22:04.200]  ... auf deine Hunde ...
[00:22:22.200 --> 00:22:24.200]  ... ... rüberド newt das Auto ...
[00:22:24.200 --> 00:22:26.200]  ... wir 들어� scientist ...
[00:22:26.200 --> 00:22:28.200]  ... so zuação, richtig ...
[00:22:28.200 --> 00:22:30.200]  ... das Jahr ging ...
[00:22:30.200 --> 00:22:31.200]  ... richtig, richtig?
[00:22:31.200 --> 00:22:33.200]  ... diese ...
[00:22:33.200 --> 00:22:34.200]  die Einkä cache...
[00:22:34.200 --> 00:22:36.200]  ... kam ...
[00:22:36.200 --> 00:22:38.200]  ... ... während dann es ...
[00:22:38.200 --> 00:22:40.039]  ... spür Alpha ....
[00:22:40.039 --> 00:22:42.200]  ... returned ...
[00:22:43.200 --> 00:22:45.200]  selon der Bandung 90...
[00:22:45.200 --> 00:22:46.480]  ... der Duist ...
[00:22:46.480 --> 00:22:49.200]  ... das Jahr ist, das Jahr in der Bedeuerung war ...
[00:22:49.200 --> 00:22:51.200]  ...�� concentrations ...
[00:22:51.380 --> 00:22:52.519]  Ja?
[00:22:53.360 --> 00:22:56.180]  WOW
[00:23:03.960 --> 00:23:04.940]  War für7 Games hier?
[00:23:13.600 --> 00:23:15.600]  Selbst бок!
[00:23:15.900 --> 00:23:18.740]  compatriaich elose
[00:23:18.740 --> 00:23:19.740]  Ja!
[00:23:19.740 --> 00:23:20.740]  Garant!
[00:23:20.740 --> 00:23:21.740]  Garant!
[00:23:21.740 --> 00:23:22.740]  Wunder!
[00:23:22.740 --> 00:23:23.740]  Ja.
[00:23:23.740 --> 00:23:25.740]  Gel!
[00:23:25.740 --> 00:23:26.740]  Ja!
[00:23:30.740 --> 00:23:31.740]  Mhm.
[00:23:31.740 --> 00:23:33.740]  Mhm.
[00:23:37.740 --> 00:23:38.740]  Fuck.
[00:23:44.740 --> 00:23:46.740]  Okay, alles gut?
[00:23:49.740 --> 00:23:50.740]  Gleich klic!
[00:23:50.740 --> 00:23:51.740]  Mhm.
[00:23:54.740 --> 00:23:55.740]  Ja, gel!
[00:23:56.740 --> 00:23:58.740]  War ja viel los bei euch!
[00:23:59.740 --> 00:24:01.740]  Zu Hause, gel!
[00:24:02.740 --> 00:24:03.740]  Noch dazu!
[00:24:05.740 --> 00:24:07.740]  Was ist der auch immer dabei?
[00:24:09.740 --> 00:24:11.740]  Ganz schön was erlebt schon!
[00:24:19.740 --> 00:24:20.740]  Ich will tagsüber,
[00:24:21.740 --> 00:24:23.740]  Ihnen erst einmal zur Ruhe bringen.
[00:24:24.740 --> 00:24:25.740]  Ja?
[00:24:25.740 --> 00:24:28.740]  Jetzt erwillt kein Hunger, er hat sich das Mühe,
[00:24:28.740 --> 00:24:31.740]  dann kurz mal beruhigen, in Arm, nur ihn.
[00:24:32.740 --> 00:24:34.740]  Einmal in die Fernsehen.
[00:24:34.740 --> 00:24:35.740]  Ja.
[00:24:35.740 --> 00:24:37.740]  Einmal ein bisschen halten und beruhigen.
[00:24:37.740 --> 00:24:39.740]  Und dann schläft er vielleicht nicht.
[00:24:39.740 --> 00:24:40.740]  Ja.
[00:24:40.740 --> 00:24:42.740]  Jetzt erwillt kein Hunger, er hat sich das Mühe,
[00:24:42.740 --> 00:24:45.740]  dann kurz mal beruhigen, in Arm, nur ihn.
[00:24:45.740 --> 00:24:48.740]  Und dann schläft er vielleicht besser.
[00:24:48.740 --> 00:24:50.740]  Ich weiß es nicht, ich will probieren.
[00:24:50.740 --> 00:24:52.740]  Zu Hause, was ist kein Problem?
[00:24:52.740 --> 00:24:54.740]  Die Hände halten,
[00:24:54.740 --> 00:25:00.740]  aber wenn wir zum einen Termin fallen,
[00:25:00.740 --> 00:25:03.740]  oder gegen, und zum Beispiel,
